index,prediction,label,dataset
0,1,1,0
1,1,0,2
2,0,0,0
3,0,1,2
4,0,9,0
5,4,4,0
6,6,6,0
7,0,0,2
8,0,0,0
9,5,5,0
10,8,9,0
11,2,2,0
12,0,1,2
13,1,0,2
14,0,5,0
15,4,4,0
16,0,0,0
17,7,7,0
18,0,1,2
19,0,0,0
20,1,1,2
21,0,0,0
22,0,1,2
23,3,3,0
24,0,0,0
25,9,9,0
26,0,0,2
27,0,0,0
28,0,1,2
29,4,4,0
30,4,4,0
31,0,0,2
32,0,0,0
33,1,1,2
34,2,2,0
35,6,6,0
36,0,0,0
37,1,0,2
38,0,0,0
39,6,6,0
40,0,9,0
41,0,0,0
42,0,0,0
43,4,4,0
44,0,1,2
45,0,0,2
46,5,5,0
47,8,5,0
48,2,2,0
49,5,5,0
50,0,0,0
51,5,0,0
52,0,0,0
53,1,0,2
54,1,0,2
55,0,1,2
56,0,0,0
57,0,8,0
58,0,0,0
59,1,1,2
60,0,0,2
61,9,9,0
62,0,0,2
63,0,0,0
64,3,3,0
65,0,0,0
66,0,0,0
67,8,9,0
68,4,4,0
69,0,1,2
70,0,0,0
71,7,7,0
72,5,5,0
73,0,0,0
74,1,1,2
75,5,3,1
76,2,2,0
77,6,6,0
78,0,1,2
79,8,8,0
80,1,1,2
81,0,1,2
82,0,0,2
83,0,0,2
84,5,5,0
85,1,4,0
86,0,0,2
87,1,0,2
88,0,9,0
89,0,0,0
90,8,9,0
91,5,1,1
92,9,9,0
93,0,0,0
94,1,1,0
95,0,1,2
96,0,1,2
97,1,1,2
98,9,0,0
99,5,5,0
100,0,0,0
101,6,6,0
102,4,4,0
103,0,0,0
104,7,7,0
105,0,0,0
106,0,0,0
107,8,8,0
108,1,0,2
109,1,1,2
110,2,2,0
111,0,0,0
112,0,0,0
113,1,0,2
114,1,1,0
115,1,1,0
116,0,1,2
117,1,1,0
118,1,0,2
119,8,8,0
120,0,0,0
121,6,6,0
122,0,0,0
123,1,1,2
124,0,0,0
125,8,8,0
126,8,8,0
127,6,7,0
128,0,0,0
129,0,0,0
130,0,3,1
131,0,0,0
132,3,3,0
133,6,7,0
134,1,1,0
135,0,0,0
136,0,0,0
137,0,0,2
138,4,4,0
139,1,1,2
140,6,6,0
141,0,0,0
142,0,1,2
143,1,0,2
144,9,5,0
145,0,1,2
146,1,1,2
147,1,1,2
148,2,2,0
149,3,3,0
150,0,0,0
151,9,9,0
152,0,0,0
153,1,1,2
154,9,9,0
155,0,0,0
156,5,5,0
157,8,8,0
158,5,5,0
159,0,5,0
160,4,4,0
161,0,1,2
162,0,0,0
163,1,5,0
164,0,5,0
165,1,5,0
166,0,1,2
167,0,0,0
168,0,0,2
169,8,8,0
170,1,7,0
171,1,1,2
172,0,0,0
173,0,0,0
174,3,3,0
175,7,7,0
176,0,0,0
177,1,1,0
178,4,4,0
179,6,6,0
180,9,9,0
181,0,0,2
182,0,0,2
183,3,3,0
184,0,0,0
185,5,5,0
186,8,8,0
187,7,6,0
188,0,0,0
189,0,0,0
190,2,2,0
191,6,7,0
192,1,0,2
193,6,6,0
194,1,1,2
195,0,1,2
196,0,1,2
197,0,1,2
198,0,0,2
199,2,2,0
200,0,0,2
201,0,0,0
202,1,0,2
203,5,0,1
